"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 22 06:30:31 GMT 2024","Fri Mar 22 06:30:33 GMT 2024","2037","firefox","demo-todo-app1.spec.js","Editing","","","should hide other controls when editing",""
"passed","Fri Mar 22 06:30:31 GMT 2024","Fri Mar 22 06:30:33 GMT 2024","2062","firefox","demo-todo-app1.spec.js","Editing","","","should trim entered text",""
"passed","Fri Mar 22 06:30:34 GMT 2024","Fri Mar 22 06:30:37 GMT 2024","2817","firefox","demo-todo-app1.spec.js","Routing","","","should allow me to display active items",""
"passed","Fri Mar 22 06:30:49 GMT 2024","Fri Mar 22 06:30:52 GMT 2024","2578","webkit","demo-todo-app1.spec.js","Clear completed button","","","should remove completed items when clicked",""
"passed","Fri Mar 22 06:30:18 GMT 2024","Fri Mar 22 06:30:20 GMT 2024","2221","chromium","demo-todo-app1.spec.js","Mark all as completed","","","should allow me to clear the complete state of all items",""
"passed","Fri Mar 22 06:30:31 GMT 2024","Fri Mar 22 06:30:33 GMT 2024","2388","firefox","demo-todo-app1.spec.js","Editing","","","should save edits on blur",""
"passed","Fri Mar 22 06:30:24 GMT 2024","Fri Mar 22 06:30:30 GMT 2024","6299","firefox","demo-todo-app1.spec.js","New Todo","","","should clear text input field when an item is added",""
"passed","Fri Mar 22 06:30:49 GMT 2024","Fri Mar 22 06:30:52 GMT 2024","2210","webkit","demo-todo-app1.spec.js","Clear completed button","","","should display the correct text",""
"passed","Fri Mar 22 06:30:30 GMT 2024","Fri Mar 22 06:30:32 GMT 2024","2185","firefox","demo-todo-app1.spec.js","Item","","","should allow me to mark items as complete",""
"passed","Fri Mar 22 06:30:35 GMT 2024","Fri Mar 22 06:30:38 GMT 2024","2535","firefox","demo-todo-app1.spec.js","Routing","","","should allow me to display all items",""
"passed","Fri Mar 22 06:30:24 GMT 2024","Fri Mar 22 06:30:31 GMT 2024","6692","firefox","demo-todo-app1.spec.js","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Fri Mar 22 06:30:33 GMT 2024","Fri Mar 22 06:30:34 GMT 2024","1709","firefox","demo-todo-app1.spec.js","Counter","","","should display the current number of todo items",""
"passed","Fri Mar 22 06:30:24 GMT 2024","Fri Mar 22 06:30:31 GMT 2024","6318","firefox","demo-todo-app1.spec.js","Mark all as completed","","","should allow me to clear the complete state of all items",""
"passed","Fri Mar 22 06:30:20 GMT 2024","Fri Mar 22 06:30:21 GMT 2024","835","chromium","demo-todo-app1.spec.js","Editing","","","should hide other controls when editing",""
"passed","Fri Mar 22 06:30:18 GMT 2024","Fri Mar 22 06:30:20 GMT 2024","1800","chromium","demo-todo-app1.spec.js","New Todo","","","should clear text input field when an item is added",""
"passed","Fri Mar 22 06:30:41 GMT 2024","Fri Mar 22 06:30:46 GMT 2024","5258","webkit","demo-todo-app1.spec.js","Mark all as completed","","","should allow me to clear the complete state of all items",""
"passed","Fri Mar 22 06:30:21 GMT 2024","Fri Mar 22 06:30:22 GMT 2024","870","chromium","demo-todo-app1.spec.js","Clear completed button","","","should be hidden when there are no items that are completed",""
"passed","Fri Mar 22 06:30:34 GMT 2024","Fri Mar 22 06:30:37 GMT 2024","3446","firefox","demo-todo-app1.spec.js","Persistence","","","should persist its data",""
"passed","Fri Mar 22 06:30:21 GMT 2024","Fri Mar 22 06:30:22 GMT 2024","867","chromium","demo-todo-app1.spec.js","Editing","","","should cancel edits on escape",""
"passed","Fri Mar 22 06:30:24 GMT 2024","Fri Mar 22 06:30:31 GMT 2024","6967","firefox","demo-todo-app1.spec.js","New Todo","","","should append new items to the bottom of the list",""
"passed","Fri Mar 22 06:30:33 GMT 2024","Fri Mar 22 06:30:35 GMT 2024","2342","firefox","demo-todo-app1.spec.js","Clear completed button","","","should be hidden when there are no items that are completed",""
"passed","Fri Mar 22 06:30:41 GMT 2024","Fri Mar 22 06:30:47 GMT 2024","5574","webkit","demo-todo-app1.spec.js","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Fri Mar 22 06:30:22 GMT 2024","Fri Mar 22 06:30:23 GMT 2024","884","chromium","demo-todo-app1.spec.js","Routing","","","should allow me to display completed items",""
"passed","Fri Mar 22 06:30:32 GMT 2024","Fri Mar 22 06:30:34 GMT 2024","1964","firefox","demo-todo-app1.spec.js","Editing","","","should cancel edits on escape",""
"passed","Fri Mar 22 06:30:18 GMT 2024","Fri Mar 22 06:30:20 GMT 2024","2196","chromium","demo-todo-app1.spec.js","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Fri Mar 22 06:30:20 GMT 2024","Fri Mar 22 06:30:21 GMT 2024","1053","chromium","demo-todo-app1.spec.js","Item","","","should allow me to mark items as complete",""
"passed","Fri Mar 22 06:30:18 GMT 2024","Fri Mar 22 06:30:20 GMT 2024","1856","chromium","demo-todo-app1.spec.js","New Todo","","","should allow me to add todo items",""
"passed","Fri Mar 22 06:30:33 GMT 2024","Fri Mar 22 06:30:35 GMT 2024","2143","firefox","demo-todo-app1.spec.js","Clear completed button","","","should remove completed items when clicked",""
"passed","Fri Mar 22 06:30:50 GMT 2024","Fri Mar 22 06:30:53 GMT 2024","3027","webkit","demo-todo-app1.spec.js","Clear completed button","","","should be hidden when there are no items that are completed",""
"passed","Fri Mar 22 06:30:35 GMT 2024","Fri Mar 22 06:30:37 GMT 2024","2050","firefox","demo-todo-app1.spec.js","Routing","","","should highlight the currently applied filter",""
"passed","Fri Mar 22 06:30:50 GMT 2024","Fri Mar 22 06:30:52 GMT 2024","2554","webkit","demo-todo-app1.spec.js","Persistence","","","should persist its data",""
"passed","Fri Mar 22 06:30:21 GMT 2024","Fri Mar 22 06:30:22 GMT 2024","784","chromium","demo-todo-app1.spec.js","Counter","","","should display the current number of todo items",""
"passed","Fri Mar 22 06:30:33 GMT 2024","Fri Mar 22 06:30:35 GMT 2024","2280","firefox","demo-todo-app1.spec.js","Clear completed button","","","should display the correct text",""
"passed","Fri Mar 22 06:30:50 GMT 2024","Fri Mar 22 06:30:53 GMT 2024","2757","webkit","demo-todo-app1.spec.js","Routing","","","should allow me to display active items",""
"passed","Fri Mar 22 06:30:39 GMT 2024","Fri Mar 22 06:30:46 GMT 2024","7150","webkit","demo-todo-app1.spec.js","Mark all as completed","","","should allow me to mark all items as completed",""
"passed","Fri Mar 22 06:30:46 GMT 2024","Fri Mar 22 06:30:49 GMT 2024","3014","webkit","demo-todo-app1.spec.js","Item","","","should allow me to edit an item",""
"passed","Fri Mar 22 06:30:35 GMT 2024","Fri Mar 22 06:30:37 GMT 2024","2225","firefox","demo-todo-app1.spec.js","Routing","","","should allow me to display completed items",""
"passed","Fri Mar 22 06:30:44 GMT 2024","Fri Mar 22 06:30:47 GMT 2024","2082","webkit","demo-todo-app1.spec.js","Item","","","should allow me to un-mark items as complete",""
"passed","Fri Mar 22 06:30:21 GMT 2024","Fri Mar 22 06:30:22 GMT 2024","922","chromium","demo-todo-app1.spec.js","Clear completed button","","","should display the correct text",""
"passed","Fri Mar 22 06:30:22 GMT 2024","Fri Mar 22 06:30:23 GMT 2024","884","chromium","demo-todo-app1.spec.js","Routing","","","should highlight the currently applied filter",""
"passed","Fri Mar 22 06:30:21 GMT 2024","Fri Mar 22 06:30:22 GMT 2024","861","chromium","demo-todo-app1.spec.js","Editing","","","should remove the item if an empty text string was entered",""
"passed","Fri Mar 22 06:30:34 GMT 2024","Fri Mar 22 06:30:37 GMT 2024","2544","firefox","demo-todo-app1.spec.js","Routing","","","should respect the back button",""
"passed","Fri Mar 22 06:30:47 GMT 2024","Fri Mar 22 06:30:49 GMT 2024","2799","webkit","demo-todo-app1.spec.js","Editing","","","should save edits on blur",""
"passed","Fri Mar 22 06:30:20 GMT 2024","Fri Mar 22 06:30:21 GMT 2024","1088","chromium","demo-todo-app1.spec.js","Item","","","should allow me to edit an item",""
"passed","Fri Mar 22 06:30:47 GMT 2024","Fri Mar 22 06:30:50 GMT 2024","2749","webkit","demo-todo-app1.spec.js","Editing","","","should remove the item if an empty text string was entered",""
"passed","Fri Mar 22 06:30:39 GMT 2024","Fri Mar 22 06:30:47 GMT 2024","7944","webkit","demo-todo-app1.spec.js","New Todo","","","should allow me to add todo items",""
"passed","Fri Mar 22 06:30:18 GMT 2024","Fri Mar 22 06:30:20 GMT 2024","1721","chromium","demo-todo-app1.spec.js","New Todo","","","should append new items to the bottom of the list",""
"passed","Fri Mar 22 06:30:48 GMT 2024","Fri Mar 22 06:30:50 GMT 2024","2773","webkit","demo-todo-app1.spec.js","Editing","","","should cancel edits on escape",""
"passed","Fri Mar 22 06:30:24 GMT 2024","Fri Mar 22 06:30:31 GMT 2024","6854","firefox","demo-todo-app1.spec.js","Mark all as completed","","","should allow me to mark all items as completed",""
"passed","Fri Mar 22 06:30:32 GMT 2024","Fri Mar 22 06:30:34 GMT 2024","1776","firefox","demo-todo-app1.spec.js","Editing","","","should remove the item if an empty text string was entered",""
"passed","Fri Mar 22 06:30:51 GMT 2024","Fri Mar 22 06:30:54 GMT 2024","2782","webkit","demo-todo-app1.spec.js","Routing","","","should respect the back button",""
"passed","Fri Mar 22 06:30:52 GMT 2024","Fri Mar 22 06:30:54 GMT 2024","2497","webkit","demo-todo-app1.spec.js","Routing","","","should allow me to display all items",""
"passed","Fri Mar 22 06:30:39 GMT 2024","Fri Mar 22 06:30:44 GMT 2024","5090","webkit","demo-todo-app1.spec.js","New Todo","","","should clear text input field when an item is added",""
"passed","Fri Mar 22 06:30:30 GMT 2024","Fri Mar 22 06:30:32 GMT 2024","2481","firefox","demo-todo-app1.spec.js","Item","","","should allow me to un-mark items as complete",""
"passed","Fri Mar 22 06:30:52 GMT 2024","Fri Mar 22 06:30:54 GMT 2024","2930","webkit","demo-todo-app1.spec.js","Routing","","","should allow me to display completed items",""
"passed","Fri Mar 22 06:30:22 GMT 2024","Fri Mar 22 06:30:22 GMT 2024","909","chromium","demo-todo-app1.spec.js","Routing","","","should allow me to display active items",""
"passed","Fri Mar 22 06:30:20 GMT 2024","Fri Mar 22 06:30:21 GMT 2024","916","chromium","demo-todo-app1.spec.js","Editing","","","should save edits on blur",""
